🏻 => 🏻, carnaxon ciæa
🏼 => 🏼, carnaxon assæ ciæa
🏽 => 🏽, carnaxon cô d’öiva
🏾 => 🏾, carnaxon assæ scua
🏿 => 🏿, carnaxon scua
♪ => ♪, cröma
♭ => ♭, bemòlle
♯ => ♯, diesis
😀 => 😀, morin ch’o rie fòrte
😃 => 😃, morin ch’o rie fòrte co-i euggi averti
😄 => 😄, morin ch’o rie fòrte co-i euggi contenti
😁 => 😁, morin sciallou co-i euggi contenti
😆 => 😆, morin ch’o rie fòrte co-i euggi serræ
😅 => 😅, morin ch’o rie fòrte con stissa de suo
🤣 => 🤣, scciuppon de rie
😂 => 😂, morin ch’o cianze da-a contentessa
🙂 => 🙂, morin co-o fattoriso
🙃 => 🙃, morin imböso
🫠 => 🫠, morin ch’o se deslengua
😉 => 😉, morin ch’o sciacca de l’euggio
😊 => 😊, morin ch’o rie co-i euggi contenti
😇 => 😇, morin ch’o rie con l’aureola
🥰 => 🥰, morin co-o fattoriso e cheu
😍 => 😍, morin co-o fattoriso e euggi à cheu
🤩 => 🤩, morin co-i euggi che fan stelle
😘 => 😘, morin ch’o manda un baxo
😗 => 😗, morin ch’o baxa
☺ => ☺, morin ch’o rie
😚 => 😚, morin ch’o baxa co-i euggi serræ
😙 => 😙, morin ch’o baxa co-i euggi contenti
🥲 => 🥲, morin ch’o rie con lagrima
😋 => 😋, morin ch’o se perlecca
😛 => 😛, morin co-a lengua de feua
😜 => 😜, morin ch’o sciacca de l’euggio e lengua
🤪 => 🤪, morin matto
😝 => 😝, morin co-i euggi serræ e a lengua de feua
🤑 => 🤑, morin co-a bocca de dinæ
🤗 => 🤗, morin ch’o l’abbrassa
🤭 => 🤭, morin ch’o se creuve a bocca
🫢 => 🫢, morin co-i euggi averti e a bocca coverta
🫣 => 🫣, morin ch’o l’aggueita tramezo a-e die
🤫 => 🤫, morin ch’o l’attaxenta
🤔 => 🤔, morin conçentrou
🫡 => 🫡, morin ch’o salua
🤐 => 🤐, morin co-a bocca à çernea
🤨 => 🤨, morin co-e çegge aggrondæ
😐 => 😐, morin néutro
😑 => 😑, morin sensa esprescion
😶 => 😶, morin sensa bocca
🫥 => 🫥, morin trattezzou
😏 => 😏, morin co-o fattoriso asperto
😒 => 😒, morin ascidiou
🙄 => 🙄, morin co-i euggi verso l’erto
😬 => 😬, morin con grimassa
🤥 => 🤥, morin boxardo
🫨 => 🫨, morin ch’o tremma
😌 => 😌, morin reparpou
😔 => 😔, morin pensamentoso
😪 => 😪, morin dormiggioso
🤤 => 🤤, morin co-a bava
😴 => 😴, morin addormio
😷 => 😷, morin co-a mascariña
🤒 => 🤒, morin co-o termòmetro
🤕 => 🤕, morin co-a testa imbindâ
🤢 => 🤢, morin angosciou
🤮 => 🤮, morin ch’o rësa
🤧 => 🤧, morin ch’o stranua
🥵 => 🥵, morin ch’o l’à cado
🥶 => 🥶, morin giassou
🥴 => 🥴, morin bambordio
😵 => 😵, morin invexendou
🤯 => 🤯, testa ch’a scciuppa
🤠 => 🤠, morin co-o cappello da cowboy
🥳 => 🥳, morin ch’o festezza
🥸 => 🥸, morin stravestio
😎 => 😎, morin ch’o rie co-i speggetti neigri
🤓 => 🤓, morin studioso
🧐 => 🧐, morin co-o monòcolo
😕 => 😕, morin confuso
🫤 => 🫤, morin co-a bocca diagonale
😟 => 😟, morin preoccupou
🙁 => 🙁, morin un pittin ammagonou
☹ => ☹, morin ammagonou
😮 => 😮, morin co-a bocca averta
😯 => 😯, morin sorpreiso
😲 => 😲, morin mäveggiou
😳 => 😳, morin imbarassou
🥺 => 🥺, morin ch’o suprica
🥹 => 🥹, morin ch’o trattëgne e lagrime
😦 => 😦, morin inmoronou co-a bocca averta
😧 => 😧, morin anscietoso
😨 => 😨, morin inspaximou
😰 => 😰, morin anscioso con stissa de suo
😥 => 😥, morin deluso ma da-o cheu arrecoviou
😢 => 😢, morin ch’o cianze
😭 => 😭, morin ch’o cianze fòrte
😱 => 😱, morin ch’o cria da-o terrô
😖 => 😖, morin perplesso
😣 => 😣, morin ch’o persciste
😞 => 😞, morin deluso
😓 => 😓, morin ammagunou con stissa de suo
😩 => 😩, morin stracco
😫 => 😫, morin stanco
🥱 => 🥱, morin ch’o bägia
😤 => 😤, morin ch’o boffa
😡 => 😡, morin arraggiou
😠 => 😠, morin rouso
🤬 => 🤬, morin co-i scimboli in sciâ bocca
😈 => 😈, morin ch’o rie co-e còrne
👿 => 👿, morin rouso co-e còrne
💀 => 💀, testa de mòrto
☠ => ☠, testa de mòrto con òsse incroxæ
💩 => 💩, cacà
🤡 => 🤡, morin da paggiasso
👹 => 👹, òrco
👺 => 👺, barban
👻 => 👻, fantaxima
👽 => 👽, alieno
👾 => 👾, mostro alieno
🤖 => 🤖, robot
😺 => 😺, gatto ch’o rie fòrte
😸 => 😸, gatto ch’o rie fòrte co-i euggi contenti
😹 => 😹, gatto ch’o cianze da-a contentessa
😻 => 😻, gatto ch’o rie co-i euggi à cheu
😼 => 😼, gatto co-o fattoriso sarcastico
😽 => 😽, gatto ch’o baxa
🙀 => 🙀, gatto abbötio
😿 => 😿, gatto ch’o cianze
😾 => 😾, gatto inmoronou
🙈 => 🙈, no veddo
🙉 => 🙉, no sento
🙊 => 🙊, no parlo
💌 => 💌, lettia d’amô
💘 => 💘, cheu co-a freccia
💝 => 💝, cheu con frexetto
💖 => 💖, cheu ch’o luxe
💗 => 💗, cheu ch’o cresce
💓 => 💓, cheu ch’o batte
💞 => 💞, cheu che gian
💕 => 💕, doî cheu
💟 => 💟, addobbo con cheu
❣ => ❣, ponto d’esclamaçion à cheu
💔 => 💔, cheu rotto
❤ => ❤, cheu rosso
🩷 => 🩷, cheu reusa
🧡 => 🧡, cheu cô de çetron
💛 => 💛, cheu giano
💚 => 💚, cheu verde
💙 => 💙, cheu bleu
🩵 => 🩵, cheu bleuçê
💜 => 💜, cheu moelo
🤎 => 🤎, cheu marròn
🖤 => 🖤, cheu neigro
🩶 => 🩶, cheu grixo
🤍 => 🤍, cheu gianco
💋 => 💋, segno de baxo
💯 => 💯, çento ponti
💢 => 💢, scimbolo da raggia
💥 => 💥, collixon
💫 => 💫, stella con scia
💦 => 💦, stisse de suo
💨 => 💨, nuvia de pua
🕳 => 🕳, beuggio
💬 => 💬, ballon de discorso
🗨 => 🗨, ballon de discorso a-a manciña
🗯 => 🗯, ballon ch’o l’esprimme raggia
💭 => 💭, ballon de pensceo
💤 => 💤, dormî
👋 => 👋, man ch’a salua
🤚 => 🤚, dorso da man arsou
🖐 => 🖐, man averta
✋ => ✋, man arsâ
🖖 => 🖖, saluo vulcanian
🫱 => 🫱, man a-a drita
🫲 => 🫲, man a-a manciña
🫳 => 🫳, man co-o parmo in zu
🫴 => 🫴, man co-o parmo in sciù
🫷 => 🫷, man ch’a sponcia a-a manciña
🫸 => 🫸, man ch’a sponcia a-a drita
👌 => 👌, man ch’a fa OK
🤌 => 🤌, man à pigna
🤏 => 🤏, man ch’a spellinsega
✌ => ✌, gesto de vittöia
🤞 => 🤞, die incroxæ
🫰 => 🫰, man con dio longâ e gròsso incroxæ
🤟 => 🤟, gesto t’ammo
🤘 => 🤘, gesto de còrne
🤙 => 🤙, gesto ciammime
👈 => 👈, dorso da man ch’a mostra a-a manciña
👉 => 👉, dorso da man ch’a mostra a-a drita
👆 => 👆, dorso da man ch’a mostra in sciù
🖕 => 🖕, dio de mezo
